query,clicks,impressions,ctr_percent,position
панда суши,2,13,15.38,8.5
доставка суши одесса,1,9,11.11,33.2
панда суши южный,1,2,50.00,6.5
суши панда,1,12,8.33,13.2
banda sushi,0,2,0.00,3.5
panda,0,6,0.00,12.3
panda rolls щасливе,0,1,0.00,25.0
panda sushi,0,7,0.00,27.0
panda sushi вінниця,0,1,0.00,20.0
panda суши,0,1,0.00,7.0
sushi panda,0,2,0.00,31.0
банда суши,0,2,0.00,4.0
велика риба доставка,0,5,0.00,9.6
велика риба роли,0,8,0.00,10.0
да винчи суши,0,1,0.00,40.0
доставка еды в комендантский час одесса,0,10,0.00,8.8
доставка еды одесса,0,1,0.00,1.0
доставка одесса круглосуточно,0,1,0.00,11.0
доставка роли одеса,0,4,0.00,28.3
доставка роллов одесса,0,4,0.00,62.0
доставка роллы одесса,0,5,0.00,57.4
доставка ролів,0,1,0.00,9.0
доставка ролів одеса,0,4,0.00,27.5
доставка суши,0,1,0.00,14.0
доставка суши одеса,0,1,0.00,29.0
доставка суші одеса,0,10,0.00,30.2
доставка їжі одеса,0,1,0.00,21.0
заказать,0,1,0.00,7.0
заказать роллы одесса,0,3,0.00,74.7
заказать суши в одессе,0,5,0.00,57.2
заказать суши одесса,0,5,0.00,64.2
замовити роли одеса,0,4,0.00,30.8
замовити суші в одесі,0,6,0.00,38.8
замовити суші одеса,0,6,0.00,37.0
одеса доставка їжі,0,1,0.00,13.0
одеса суші,0,4,0.00,32.8
одесса суши,0,3,0.00,45.0
панад,0,1,0.00,5.0
панда,0,1,0.00,6.0
панда банда,0,1,0.00,44.0
панда пицца,0,1,0.00,41.0
панда суши меню,0,3,0.00,16.3
панда суші,0,26,0.00,10.7
панда суші львів,0,1,0.00,26.0
панда суші меню,0,1,0.00,13.0
панда суші чернівці,0,1,0.00,10.0
панда юа,0,2,0.00,6.0
панда южный,0,1,0.00,9.0
пандасуші,0,2,0.00,7.5
панде,0,1,0.00,8.0
піца панда,0,1,0.00,5.0
роли одеса,0,3,0.00,31.7
суши доставка одесса,0,7,0.00,35.4
суши на диване,0,1,0.00,68.0
суши одеса,0,1,0.00,29.0
суши одесса,0,12,0.00,41.4
суши одесса доставка,0,4,0.00,35.8
суши панда южный,0,6,0.00,6.2
суши пицца одесса,0,1,0.00,40.0
суши фонтанка,0,3,0.00,30.3
сушия одесса,0,2,0.00,38.5
суші в одесі,0,1,0.00,35.0
суші доставка одеса,0,5,0.00,30.4
суші одеса,0,10,0.00,31.1
суші одеса доставка,0,6,0.00,27.8
суші одеса замовити,0,4,0.00,38.3
суші панда,0,5,0.00,9.4
суші панда вінниця,0,2,0.00,20.0
шеф панда,0,1,0.00,83.0
