query,clicks,impressions,ctr_percent,position
суши одесса,3,28,10.71,38.2
суши панда,3,16,18.75,15.9
панда суші,1,14,7.14,7.8
суши одеса,1,1,100.00,1.0
суші панда,1,7,14.29,35.7
banda sushi,0,1,0.00,6.0
panda,0,10,0.00,11.6
panda st,0,4,0.00,5.5
panda sushi,0,7,0.00,31.1
panda суши,0,1,0.00,1.0
pandaa,0,1,0.00,2.0
poke panda,0,2,0.00,82.0
sushi banda,0,1,0.00,5.0
sushi nigiri eel near me,0,1,0.00,11.0
sushi panda,0,3,0.00,12.0
sushi одесса,0,1,0.00,41.0
банда суши,0,2,0.00,10.5
вкусные роллы доставка,0,1,0.00,75.0
вкусные суши одесса,0,3,0.00,56.0
да винчи суши,0,2,0.00,34.5
давинчи суши,0,2,0.00,44.0
доставка гарячих роликів,0,1,0.00,66.0
доставка еды в комендантский час одесса,0,4,0.00,10.5
доставка еды одесса,0,1,0.00,1.0
доставка еды одесса круглосуточно,0,3,0.00,12.3
доставка еды фонтанка,0,1,0.00,22.0
доставка круглосуточно,0,1,0.00,2.0
доставка поке,0,2,0.00,20.0
доставка роли одеса,0,5,0.00,31.4
доставка роллов одесса,0,8,0.00,53.8
доставка роллы одесса,0,4,0.00,53.5
доставка ролів одеса,0,7,0.00,29.9
доставка суш одесса,0,1,0.00,48.0
доставка суши 8 марта,0,1,0.00,40.0
доставка суши в одессе,0,3,0.00,49.0
доставка суши в офис,0,1,0.00,35.0
доставка суши одесса,0,12,0.00,42.8
доставка суши приморский район,0,1,0.00,22.0
доставка суші 8 березня,0,1,0.00,42.0
доставка суші в одесі,0,2,0.00,35.5
доставка суші одеса,0,12,0.00,28.8
доставка їжі одеса,0,7,0.00,23.1
доставки суши одесса,0,1,0.00,40.0
заказ суши одесса,0,2,0.00,40.0
заказать поке,0,1,0.00,21.0
заказать роллы одесса,0,6,0.00,69.3
заказать суши в одессе,0,7,0.00,62.9
заказать суши одесса,0,9,0.00,59.3
заказать суши одесса с доставкой,0,1,0.00,45.0
заказать суши по телефону,0,1,0.00,38.0
замовити поке,0,1,0.00,20.0
замовити роли одеса,0,7,0.00,33.6
замовити суші в одесі,0,6,0.00,38.7
замовити суші на 8 березня,0,1,0.00,41.0
замовити суші одеса,0,7,0.00,35.4
замовлення їжі одеса,0,1,0.00,30.0
круглосуточная доставка еды одесса,0,2,0.00,11.0
круглосуточная доставка одесса,0,1,0.00,14.0
круглосуточная доставка суши,0,2,0.00,10.0
лучшие суши в одессе доставка,0,1,0.00,65.0
лучшие суши одесса доставка,0,2,0.00,62.0
найкращі суші в одесі,0,1,0.00,48.0
найсмачніші суші в одесі,0,1,0.00,40.0
одеса доставка,0,1,0.00,33.0
одеса доставка їжі,0,3,0.00,21.0
одеса суши,0,1,0.00,39.0
одеса суші,0,5,0.00,37.8
одеса суші доставка,0,1,0.00,21.0
одесса доставка суши,0,2,0.00,43.0
одесса заказать суши,0,1,0.00,47.0
одесса суши,0,8,0.00,49.6
одесса суши доставка,0,1,0.00,45.0
панда еда,0,2,0.00,1.0
панда кафе,0,1,0.00,2.0
панда меню,0,1,0.00,5.0
панда пицца,0,2,0.00,30.5
панда роллс,0,5,0.00,36.6
панда сайт,0,1,0.00,1.0
панда сарни,0,1,0.00,35.0
панда суши,0,31,0.00,19.8
панда суши харьков,0,2,0.00,35.0
панда суши южный,0,8,0.00,7.8
панда суші львів,0,1,0.00,28.0
панда юа,0,1,0.00,6.0
панда южный,0,2,0.00,10.0
пантао,0,2,0.00,25.5
поке з доставкою,0,2,0.00,16.0
поке одесса,0,1,0.00,28.0
поке с доставкой,0,1,0.00,23.0
ресторан суши одесса,0,1,0.00,55.0
роли 8 березня,0,1,0.00,50.0
роли доставка одеса,0,1,0.00,30.0
роли одеса,0,6,0.00,34.2
роллы 24 часа,0,1,0.00,8.0
роллы доставка одесса,0,1,0.00,50.0
роллы одесса доставка,0,2,0.00,52.5
смачні суші одеса,0,1,0.00,42.0
суши авангард,0,1,0.00,32.0
суши авангард одесса,0,1,0.00,38.0
суши аркадия,0,3,0.00,20.3
суши аркадия одесса,0,2,0.00,25.5
суши банда,0,2,0.00,7.5
суши в аркадии,0,2,0.00,28.5
суши в одессе,0,3,0.00,47.7
суши в одессе доставка,0,3,0.00,48.7
суши в одессе недорого,0,1,0.00,68.0
суши доставка 24/7,0,1,0.00,68.0
суши доставка одеса,0,1,0.00,12.0
суши доставка одесса,0,11,0.00,38.8
суши заказать одесса,0,1,0.00,50.0
суши и пицца одесса,0,1,0.00,50.0
суши круглосуточно,0,3,0.00,8.7
суши на 8 марта,0,1,0.00,54.0
суши на диване,0,1,0.00,54.0
суши на дом одесса,0,4,0.00,57.0
суши на таирова одесса,0,3,0.00,34.0
суши одеса доставка,0,7,0.00,12.1
суши одесса акции,0,2,0.00,53.0
суши одесса аркадия,0,1,0.00,36.0
суши одесса доставка,0,10,0.00,37.8
суши одесса заказать,0,3,0.00,43.0
суши одесса круглосуточно,0,3,0.00,7.3
суши одесса с доставкой,0,1,0.00,45.0
суши панда харьков,0,2,0.00,35.5
суши панда южный,0,10,0.00,7.7
суши пицца одесса,0,1,0.00,41.0
суши ресторан одесса,0,1,0.00,62.0
суши с доставкой одесса,0,2,0.00,45.0
суши с собой,0,1,0.00,37.0
суши счастливое,0,1,0.00,21.0
суши таирова,0,2,0.00,28.0
суши таирова одесса,0,2,0.00,31.5
суши фонтанка,0,2,0.00,26.0
суши центр одесса,0,2,0.00,40.0
суші аркадія одеса,0,1,0.00,19.0
суші в одесі,0,3,0.00,35.7
суші доставка одеса,0,5,0.00,30.2
суші знижка на виніс,0,1,0.00,54.0
суші одеса,0,19,0.00,32.4
суші одеса аркадія,0,1,0.00,25.0
суші одеса доставка,0,7,0.00,32.6
суші одеса замовити,0,3,0.00,39.7
суші панда вінниця,0,1,0.00,31.0
суші по знижці,0,1,0.00,30.0
швидка панда,0,2,0.00,47.5
шеф панда,0,2,0.00,18.5
єсуші одеса,0,1,0.00,35.0
