query,clicks,impressions,ctr_percent,position
панда суши,3,21,14.29,13.0
panda sushi,1,9,11.11,55.6
панда суші,1,7,14.29,3.4
суші панда,1,2,50.00,10.0
banda sushi,0,2,0.00,4.0
gfylf ceib,0,1,0.00,6.0
panda,0,7,0.00,9.3
panda my family меню,0,1,0.00,38.0
panda poke,0,1,0.00,71.0
panda st,0,2,0.00,5.0
pandasushi,0,1,0.00,9.0
pandi,0,1,0.00,2.0
sushi nigiri salmon near me,0,6,0.00,8.8
sushi nigiri shrimp near me,0,1,0.00,11.0
sushi panda,0,3,0.00,14.7
банда суши,0,1,0.00,4.0
да винчи суши,0,1,0.00,49.0
давинчи суши,0,1,0.00,53.0
доставка еды в комендантский час одесса,0,2,0.00,12.0
доставка еды одесса круглосуточно,0,2,0.00,7.0
доставка еды таирово,0,1,0.00,2.0
доставка еды фонтанка,0,1,0.00,23.0
доставка одеса,0,3,0.00,32.7
доставка роли одеса,0,2,0.00,30.5
доставка роллов одесса,0,5,0.00,49.0
доставка роллы одесса,0,3,0.00,61.3
доставка ролів одеса,0,3,0.00,31.7
доставка суши в одессе,0,1,0.00,42.0
доставка суши круглосуточно,0,1,0.00,3.0
доставка суши одесса,0,6,0.00,38.8
доставка суші одеса,0,8,0.00,32.8
доставка їжі одеса,0,4,0.00,30.3
заказать роллы одесса,0,3,0.00,67.3
заказать суши в одессе,0,5,0.00,51.2
заказать суши на дом одесса,0,1,0.00,46.0
заказать суши одесса,0,7,0.00,51.6
заказать суши одесса с доставкой,0,1,0.00,41.0
замовити роли одеса,0,3,0.00,31.3
замовити суші в одесі,0,2,0.00,38.5
замовити суші одеса,0,7,0.00,35.9
запечені ролі вдома,0,1,0.00,53.0
круглосуточная доставка еды одесса,0,1,0.00,21.0
круглосуточная доставка суши,0,1,0.00,11.0
купити суші одеса,0,1,0.00,34.0
купить суши одесса,0,3,0.00,36.0
лучшие суши в одессе доставка,0,1,0.00,64.0
лучшие суши одесса доставка,0,2,0.00,57.0
ночная доставка одесса,0,1,0.00,18.0
одеса доставка їжі,0,3,0.00,18.0
одеса суші,0,4,0.00,39.0
одеса суші доставка,0,1,0.00,32.0
одесса доставка суши,0,1,0.00,37.0
одесса заказать суши,0,1,0.00,43.0
одесса суши,0,4,0.00,49.8
одесса суши доставка,0,1,0.00,36.0
одесса суши заказать,0,1,0.00,38.0
панда доставка еды,0,1,0.00,17.0
панда кафе,0,1,0.00,4.0
панда меню,0,5,0.00,6.6
панда пицца,0,1,0.00,51.0
панда піца,0,1,0.00,60.0
панда роллс щасливе,0,1,0.00,22.0
панда суши харьков,0,1,0.00,43.0
панда суши южный,0,4,0.00,7.3
панда суші вінниця,0,1,0.00,35.0
панда суші львів,0,4,0.00,30.5
панда суші меню,0,1,0.00,1.0
панда южный,0,7,0.00,9.3
пандао сколько доставка,0,1,0.00,75.0
пандасуші,0,2,0.00,9.0
пицца одесса,0,1,0.00,5.0
піца панда,0,1,0.00,58.0
роли одеса,0,4,0.00,37.8
роли одесса,0,1,0.00,32.0
роллы доставка одесса,0,1,0.00,46.0
роллы одесса доставка,0,2,0.00,50.5
сканди одесса доставка,0,2,0.00,41.5
смачні суші одеса,0,1,0.00,46.0
суши,0,1,0.00,19.0
суши 7 небо,0,1,0.00,41.0
суши банда,0,4,0.00,7.5
суши в одессе,0,2,0.00,46.0
суши в одессе доставка,0,1,0.00,41.0
суши в одессе заказать,0,3,0.00,48.0
суши давинчи,0,1,0.00,42.0
суши доставка одесса,0,5,0.00,41.0
суши заказать одесса,0,1,0.00,4.0
суши купить одесса,0,1,0.00,39.0
суши на диване,0,2,0.00,67.0
суши на дом одесса,0,1,0.00,46.0
суши одесса,0,17,0.00,41.0
суши одесса акции,0,3,0.00,35.0
суши одесса доставка,0,6,0.00,40.7
суши одесса круглосуточно,0,1,0.00,4.0
суши одесса с доставкой,0,1,0.00,41.0
суши панда,0,6,0.00,10.7
суши панда харьков,0,1,0.00,45.0
суши панда южный,0,5,0.00,7.0
суши пицца одесса,0,2,0.00,45.0
суши с доставкой одесса,0,1,0.00,40.0
суши фонтанка,0,3,0.00,32.0
суши центр одесса,0,1,0.00,37.0
сушия одесса,0,2,0.00,45.5
суші в одесі,0,1,0.00,38.0
суші доставка одеса,0,4,0.00,32.5
суші одеса,0,7,0.00,38.7
суші одеса доставка,0,4,0.00,31.0
суші одеса замовити,0,3,0.00,36.7
суші панда вінниця,0,1,0.00,33.0
швидка панда,0,1,0.00,28.0
швидка панда славутич,0,1,0.00,24.0
шеф панда,0,1,0.00,26.0
як виглядає,0,1,0.00,3.0
