query,clicks,impressions,ctr_percent,position
панда суши,2,23,8.70,7.9
доставка одесса круглосуточно,1,2,50.00,6.0
доставка суши одесса,1,11,9.09,30.8
заказать суши круглосуточно,1,1,100.00,4.0
панда суші,1,36,2.78,9.4
суши панда,1,20,5.00,7.5
суші одеса,1,12,8.33,30.3
banda sushi,0,2,0.00,3.5
panda,0,6,0.00,17.3
panda mass,0,1,0.00,100.0
panda menu,0,1,0.00,32.0
panda rolls щасливе,0,1,0.00,25.0
panda st,0,1,0.00,3.0
panda sushi,0,9,0.00,30.7
panda sushi menu,0,1,0.00,13.0
panda sushi вінниця,0,1,0.00,20.0
panda суши,0,1,0.00,7.0
pandasushi,0,2,0.00,5.0
pande,0,1,0.00,8.0
planada sushi,0,2,0.00,2.0
sushi panda,0,2,0.00,29.0
банда суши,0,3,0.00,5.0
велика риба доставка,0,4,0.00,9.8
велика риба доставка одеса,0,1,0.00,9.0
доставка,0,1,0.00,1.0
доставка еды в комендантский час одесса,0,10,0.00,9.6
доставка еды круглосуточно одесса,0,1,0.00,4.0
доставка еды одесса,0,1,0.00,1.0
доставка еды одесса круглосуточно,0,1,0.00,17.0
доставка роли одеса,0,5,0.00,28.4
доставка роллов одесса,0,4,0.00,63.8
доставка роллы одесса,0,5,0.00,62.0
доставка ролів одеса,0,4,0.00,26.5
доставка суши,0,1,0.00,14.0
доставка суши одеса,0,1,0.00,29.0
доставка суші одеса,0,15,0.00,27.9
доставка їжі одеса,0,2,0.00,22.0
заказать,0,1,0.00,7.0
заказать роллы одесса,0,4,0.00,73.5
заказать суши в одессе,0,4,0.00,65.8
заказать суши одесса,0,6,0.00,61.2
замовити роли одеса,0,4,0.00,32.0
замовити суші в одесі,0,6,0.00,38.8
замовити суші одеса,0,5,0.00,38.0
круглосуточная доставка еды одесса,0,1,0.00,1.0
круглосуточная доставка суши,0,1,0.00,10.0
одеса sushi,0,1,0.00,27.0
одеса доставка їжі,0,1,0.00,13.0
одеса суші,0,4,0.00,32.8
одесса суши,0,4,0.00,48.0
панад,0,1,0.00,5.0
панда,0,1,0.00,6.0
панда банда,0,1,0.00,44.0
панда меню,0,4,0.00,25.3
панда суши южный,0,1,0.00,7.0
панда суші вінниця,0,1,0.00,20.0
панда суші чернівці,0,1,0.00,10.0
панда щасливе,0,1,0.00,6.0
панда юа,0,1,0.00,6.0
панда южный,0,5,0.00,7.8
пандасуши,0,2,0.00,7.0
пандасуші,0,4,0.00,7.5
панде,0,1,0.00,8.0
піца панда,0,1,0.00,5.0
роли одеса,0,2,0.00,33.0
суши аркадія,0,1,0.00,26.0
суши банда,0,1,0.00,7.0
суши доставка одесса,0,7,0.00,36.1
суши круглосуточно,0,1,0.00,5.0
суши одеса,0,1,0.00,29.0
суши одесса,0,21,0.00,39.6
суши одесса доставка,0,8,0.00,34.1
суши одесса заказать,0,1,0.00,45.0
суши одесса круглосуточно,0,1,0.00,4.0
суши пан,0,1,0.00,11.0
суши панда симферополь,0,1,0.00,13.0
суши панда южный,0,8,0.00,7.1
суши фонтанка,0,4,0.00,31.0
сушипанда,0,1,0.00,1.0
сушия одесса,0,1,0.00,36.0
суші в одесі,0,3,0.00,34.3
суші доставка одеса,0,6,0.00,29.8
суші одеса доставка,0,9,0.00,25.6
суші одеса замовити,0,4,0.00,38.0
суші панда,0,5,0.00,8.8
суші панда вінниця,0,1,0.00,19.0
сущи панда,0,1,0.00,9.0
