query,clicks,impressions,ctr_percent,position
панда суші,4,26,15.38,5.0
круглосуточная доставка еды одесса,1,1,100.00,2.0
ночная доставка одесса,1,3,33.33,6.3
панда суши,1,39,2.56,12.6
суши круглосуточно доставка,1,1,100.00,3.0
all day sushi,0,1,0.00,96.0
original sushi panorama,0,1,0.00,97.0
panda,0,11,0.00,9.9
panda cheff,0,1,0.00,63.0
panda express,0,1,0.00,34.0
panda freeport,0,1,0.00,99.0
panda rolls,0,1,0.00,25.0
panda st,0,1,0.00,5.0
panda sushi,0,14,0.00,24.1
panda суши,0,1,0.00,13.0
pandasushi,0,1,0.00,5.0
restoran panda,0,1,0.00,59.0
super panda express,0,1,0.00,64.0
sushi panda,0,6,0.00,12.3
банда суши,0,3,0.00,6.3
доставка еды в комендантский час одесса,0,7,0.00,9.3
доставка еды одесса круглосуточно,0,3,0.00,4.7
доставка роли одеса,0,4,0.00,29.3
доставка роллов одесса,0,5,0.00,63.2
доставка роллы одесса,0,4,0.00,45.3
доставка ролів одеса,0,5,0.00,29.4
доставка суш одесса,0,1,0.00,58.0
доставка суши одесса,0,11,0.00,29.4
доставка суші одеса,0,12,0.00,28.0
доставка іжі одеса,0,1,0.00,19.0
доставка їжі одеса,0,3,0.00,23.7
заказать роллы одесса,0,6,0.00,72.0
заказать суши в одессе,0,5,0.00,70.4
заказать суши одесса,0,5,0.00,70.2
замовити роли одеса,0,4,0.00,33.0
замовити суші в одесі,0,4,0.00,36.5
замовити суші одеса,0,7,0.00,37.3
круглосуточная доставка суши,0,1,0.00,11.0
одеса суші,0,6,0.00,35.5
одесса суши,0,6,0.00,49.2
панда,0,2,0.00,8.0
панда доставка,0,2,0.00,6.5
панда меню,0,1,0.00,2.0
панда піца,0,1,0.00,4.0
панда роллс,0,1,0.00,20.0
панда ролс,0,2,0.00,12.5
панда скши,0,1,0.00,12.0
панда суши меню,0,2,0.00,1.0
панда суши южный,0,6,0.00,7.0
панда суші вінниця,0,1,0.00,30.0
панда суші львів,0,2,0.00,29.0
панда суші меню,0,1,0.00,15.0
панда суші чернівці,0,1,0.00,11.0
панда экспресс доставка,0,1,0.00,19.0
панда юа,0,1,0.00,5.0
панда южный,0,2,0.00,8.0
пандасуші,0,1,0.00,10.0
пантао,0,2,0.00,6.0
поке заказать,0,1,0.00,13.0
поке одесса,0,2,0.00,29.5
роли одеса,0,2,0.00,29.5
роллы доставка одесса,0,1,0.00,48.0
роллы одесса доставка,0,2,0.00,56.0
сайт панда,0,3,0.00,2.0
суши банда,0,3,0.00,7.0
суши в одессе,0,2,0.00,59.5
суши доставка 24/7,0,1,0.00,3.0
суши доставка одеса,0,2,0.00,12.0
суши доставка одесса,0,9,0.00,37.8
суши одесса,0,23,0.00,37.5
суши одесса доставка,0,10,0.00,38.9
суши одесса круглосуточно,0,4,0.00,5.3
суши пан,0,1,0.00,10.0
суши панда,0,13,0.00,10.5
суши панда южный,0,4,0.00,9.8
суши панла,0,1,0.00,12.0
суши счастливое,0,1,0.00,17.0
суши фонтанка,0,2,0.00,29.5
сушипанда,0,1,0.00,18.0
сушия одесса,0,2,0.00,36.0
суші в одесі,0,1,0.00,34.0
суші доставка одеса,0,4,0.00,31.5
суші одеса,0,14,0.00,30.6
суші одеса доставка,0,7,0.00,28.1
суші одеса замовити,0,5,0.00,36.8
суші панда,0,2,0.00,6.5
суші панда сарни,0,1,0.00,10.0
